,x,loss
79,"[0.12905448 0.00841412 0.52966844 0.         0.         0.39092077
 0.34466732 0.18479479 0.14093238 0.05136636 0.85543912 0.71117944
 0.         0.         0.1037516  0.         0.         0.
 1.         1.         0.98031637 0.32427114 0.36617886 0.41545759
 0.         1.         0.         0.77310076]",799837093.6420573
80,"[0.46820288 0.28725143 0.06298244 1.         0.25694644 0.
 1.         0.33031389 0.08904581 0.38313703 0.77703477 0.13030197
 1.         0.99544762 0.         0.         0.00525144 0.
 1.         0.96355093 0.21156056 1.         0.1099225  0.
 1.         1.         0.43084481 0.09677615]",1764253342.5101635
81,"[1.         0.00602887 1.         0.74525249 0.06505095 0.
 0.71560089 0.         0.51322221 0.47187142 0.69623874 0.82878662
 0.         0.         0.         0.         1.         0.07021698
 1.         0.37230992 0.31130936 0.         0.20296926 0.
 1.         0.83729155 0.08742209 0.32329619]",5156659618.684636
82,"[1.         0.61272604 1.         0.         0.         0.75923962
 0.15062153 0.         0.43630381 0.         0.48094866 1.
 0.92400892 0.         0.84816932 0.31219834 0.94718665 1.
 1.         1.         0.         0.         1.         0.
 0.         0.89378141 1.         0.5708005 ]",inf
83,"[0.63405309 0.26130975 1.         0.         0.80790104 0.08463796
 0.90524737 1.         0.         0.58868546 1.         0.
 1.         0.17599681 0.         0.36709796 0.6367002  0.
 0.66158695 0.62977381 1.         0.83876254 0.44578732 0.64969664
 0.14198764 0.40312344 1.         1.        ]",inf
84,"[1.         0.7306677  0.65714992 0.         0.52805703 0.93415103
 0.         0.79300396 0.10719688 0.20421054 0.49037683 0.43892549
 0.92827137 0.01512232 0.790071   0.80188167 0.         0.36193083
 0.07987603 0.15125734 0.         0.         0.50646877 0.61958455
 0.06300385 0.50693647 1.         0.63919439]",inf
85,"[0.662796   0.         0.         0.         0.58553052 0.47551022
 0.         0.52492571 0.15026835 0.         1.         0.66095683
 0.81996014 0.97664671 0.55357009 0.33090971 0.44306183 0.64778045
 0.         0.         0.17051897 1.         0.         0.
 0.72876771 0.         1.         0.        ]",inf
86,"[0.98744628 0.18406772 0.77010821 0.         0.51944272 0.17798093
 0.         0.         0.37859325 0.63999784 0.         1.
 0.93458834 0.04318027 0.         0.         0.         0.21419608
 0.         0.         0.         0.         1.         0.7789716
 0.05234372 0.49305065 1.         0.5717872 ]",inf
87,"[0.1878791  0.81088636 0.         0.97548101 0.4405645  0.26790781
 0.         0.11028958 0.64294539 1.         1.         0.23466333
 0.92784707 0.86229329 1.         1.         0.89546275 0.04739075
 0.17713054 0.         0.         0.49182022 0.49655742 1.
 1.         0.41914635 1.         1.        ]",inf
88,"[0.80328551 0.32895312 0.3878512  0.         0.06490415 0.43939995
 1.         1.         1.         0.         1.         0.80270346
 0.         0.21923259 0.         0.92070449 0.         0.
 0.         0.         0.10956014 0.24166073 0.18872613 0.20269184
 0.55641041 0.5372359  1.         1.        ]",inf
